[ 2025-07-25 00:15:39,776 ] semantic_hybrid_chunk_upload.py:28 root - INFO - GOOGLE_API_KEY loaded.
[ 2025-07-25 00:16:06,344 ] semantic_hybrid_chunk_upload.py:28 root - INFO - GOOGLE_API_KEY loaded.
[ 2025-07-25 00:16:06,353 ] semantic_hybrid_chunk_upload.py:45 root - INFO - Loaded 572 pages.
[ 2025-07-25 00:16:06,353 ] semantic_hybrid_chunk_upload.py:51 root - INFO - Initializing embedding model...
[ 2025-07-25 00:16:06,383 ] semantic_hybrid_chunk_upload.py:57 root - INFO - Embedding model initialized.
[ 2025-07-25 00:16:06,383 ] semantic_hybrid_chunk_upload.py:60 root - INFO - Initializing text splitter...
[ 2025-07-25 00:16:06,383 ] semantic_hybrid_chunk_upload.py:66 root - INFO - Text splitter initialized.
[ 2025-07-25 00:16:06,463 ] semantic_hybrid_chunk_upload.py:70 root - INFO - Connected to Qdrant.
[ 2025-07-25 00:16:06,814 ] _client.py:1025 httpx - INFO - HTTP Request: GET http://ai.infoveave.cloud:6333/collections "HTTP/1.1 200 OK"
[ 2025-07-25 00:16:06,820 ] semantic_hybrid_chunk_upload.py:78 root - INFO - Collection 'infoverve_helper_docs_hybrid' is ready.
[ 2025-07-25 00:25:36,047 ] semantic_hybrid_chunk_upload.py:84 root - INFO - Total chunks for TF-IDF: 2444
[ 2025-07-25 00:25:36,181 ] semantic_hybrid_chunk_upload.py:88 root - INFO - TF-IDF model fitted.
[ 2025-07-25 00:25:36,181 ] semantic_hybrid_chunk_upload.py:99 root - INFO - Processing 572 pages...
[ 2025-07-25 00:42:06,929 ] semantic_hybrid_chunk_upload.py:129 root - INFO - Uploading 2444 vectors in batches of 100...
